clip_id,domain,abs_rel,delta_1_25,conf_mean,conf_std,photometric_l1_mean,flow_mag_mean
scene0011_00,static,0.449824720621109,0.0014200711157172918,4.208137035369873,2.638500690460205,,
scene0011_01,static,0.45456352829933167,0.002501796931028366,1.4785356521606445,0.5860519409179688,,
scene0015_00,static,0.612592875957489,0.004366125445812941,1.237823247909546,0.5016785860061646,,
scene0019_00,static,0.5317758321762085,0.0,1.2419469356536865,0.5264744758605957,,
scene0019_01,static,0.5675124526023865,0.0,1.470392107963562,0.7587157487869263,,
scene0025_00,static,0.5721229910850525,4.474629804462893e-06,1.8506468534469604,1.1320089101791382,,
scene0025_01,static,0.525950014591217,6.579722366950591e-07,1.0655051469802856,0.24579894542694092,,
scene0025_02,static,0.431699275970459,6.900022708578035e-05,2.079159736633301,1.6218534708023071,,
scene0030_00,static,0.5776176452636719,0.0005925900186412036,2.685725212097168,1.1781560182571411,,
scene0030_01,static,0.6087941527366638,1.0093241144204512e-05,1.0023300647735596,0.01682698354125023,,
scene0030_02,static,0.6660242676734924,0.0,1.0003089904785156,0.003044542158022523,,
scene0046_00,static,0.5632284283638,0.00014988429029472172,6.084665298461914,2.341710090637207,,
scene0046_01,static,0.5615229606628418,1.9324521417729557e-05,10.175430297851562,3.6481683254241943,,
scene0046_02,static,0.49300894141197205,0.0007148441509343684,7.2345404624938965,3.6060221195220947,,
scene0050_00,static,0.47150465846061707,0.0005830636364407837,6.944197654724121,2.5330944061279297,,
scene0050_01,static,0.4979305565357208,0.00041575366049073637,10.107131004333496,4.181107997894287,,
scene0050_02,static,0.48680341243743896,0.0,1.2428181171417236,0.6807518601417542,,
scene0063_00,static,0.6279773712158203,3.3327407436445355e-05,1.0669647455215454,0.1941859871149063,,
scene0064_00,static,0.6864117980003357,0.0,6.300786018371582,4.088466644287109,,
scene0064_01,static,0.5627568960189819,0.0,4.753188610076904,3.1644811630249023,,
droid_0000,dynamic,,,1.3256207704544067,0.378771036863327,0.007846197346225381,0.017778171226382256
droid_0001,dynamic,,,2.0614423751831055,0.6936558485031128,0.006557320061671946,0.06706813563193594
droid_0002,dynamic,,,1.0059014558792114,0.015730516985058784,0.008256688946858048,0.019458482707185403
droid_0003,dynamic,,,4.149479866027832,2.1702582836151123,0.005442562197068972,0.032655605647180765
droid_0004,dynamic,,,1.642735242843628,0.5179771184921265,0.004694467393814453,0.028782401766095842
droid_0005,dynamic,,,2.121150016784668,1.5730613470077515,0.0046449186047539115,0.03484973830303976
droid_0006,dynamic,,,1.4234522581100464,0.5172884464263916,0.004346399518129017,0.022625145768480643
droid_0007,dynamic,,,1.124057412147522,0.13774815201759338,0.012172499472009284,0.4367023546780859
droid_0008,dynamic,,,1.1566147804260254,0.16768775880336761,0.008776962890156679,0.043331549769001346
droid_0009,dynamic,,,1.2162468433380127,0.258645236492157,0.008846205127026354,0.1043452914538128
droid_0010,dynamic,,,1.954338550567627,0.6346786022186279,0.005710437361683164,0.018332666717469692
droid_0011,dynamic,,,1.715253472328186,0.5720848441123962,0.007905430659385664,0.0677486446553043
droid_0012,dynamic,,,1.2126497030258179,0.26226532459259033,0.005210540456963437,0.018547112122178078
droid_0013,dynamic,,,1.4740430116653442,0.484102725982666,0.008286818030423351,0.04266768241567271
droid_0014,dynamic,,,1.0728461742401123,0.11005976051092148,0.008738532396299499,0.10138791959200587
droid_0015,dynamic,,,1.019002914428711,0.034685757011175156,0.009619550912507943,0.13465066945978574
droid_0016,dynamic,,,1.7222293615341187,0.6772217750549316,0.0057593561609142595,0.02189197231616293
droid_0017,dynamic,,,1.8193893432617188,0.9175487160682678,0.0050175050107230034,0.018136748378830298
droid_0018,dynamic,,,2.3622612953186035,0.8692045211791992,0.005748239911294409,0.017890706126179014
droid_0019,dynamic,,,1.3865100145339966,0.6418715119361877,0.0029758905709188965,0.036679203755089214
droid_0020,dynamic,,,1.4934898614883423,0.49526286125183105,0.007537416415289044,0.020074485002883842
droid_0021,dynamic,,,1.2099684476852417,0.23686479032039642,0.00895284887935434,0.055870662310293744
droid_0022,dynamic,,,1.7767692804336548,0.9649972319602966,0.015018969940553819,0.5067216759281499
droid_0023,dynamic,,,1.0922329425811768,0.1739625334739685,0.007009881664998829,0.11799991689622402
droid_0024,dynamic,,,2.9107730388641357,1.2044806480407715,0.00684331711714289,0.01893912468637739
droid_0025,dynamic,,,1.1135066747665405,0.19249919056892395,0.006867311329447797,0.028607774658926895
droid_0026,dynamic,,,2.203256368637085,0.9294701218605042,0.008852972216638071,0.05672119863863502
droid_0027,dynamic,,,1.2588415145874023,0.2759827673435211,0.00747957918792963,0.01455362220960004
droid_0028,dynamic,,,1.2909324169158936,0.340386301279068,0.0059555517010656854,0.014234166060175215
droid_0029,dynamic,,,1.0364264249801636,0.057443030178546906,0.0076823311392217875,0.029996244369872978
