clip_id,manifest,pearson_r,p_value,n_pairs,mean_token_delta,mean_flow_mag,domain
droid_0000,set_a,0.311535882447906,0.09994725769972349,29,4.271616458892822,0.06532457445202203,manipulation
droid_0001,set_a,0.4326677057957187,0.01906581765674508,29,8.109231948852539,0.30563478004829636,manipulation
droid_0002,set_a,0.3093693871137594,0.10245440982042617,29,5.165909767150879,0.25724637132651845,manipulation
droid_0003,set_a,0.42669302530615894,0.020979921890496685,29,5.434401988983154,0.1788947305738412,manipulation
droid_0004,set_a,0.47703855975751563,0.008881441617628869,29,6.049482822418213,0.2105444398676527,manipulation
droid_0005,set_a,0.5824215512096395,0.0009166720540541333,29,8.988585472106934,0.6938534145532497,manipulation
droid_0006,set_a,0.21355197868806075,0.2660011207430503,29,4.157141208648682,0.04556739561516663,manipulation
droid_0007,set_a,0.47840276248317676,0.00866156616419191,29,4.028942108154297,0.20303313177207422,manipulation
droid_0008,set_a,0.7646891451289969,1.367259791553592e-06,29,6.165992259979248,0.4214778605463176,manipulation
droid_0009,set_a,0.46920638432692174,0.010236762151938588,29,5.797428131103516,0.22018161523637586,manipulation
droid_0010,set_a,0.44294711221453503,0.01611014798587399,29,7.034786224365234,0.37957958343984755,manipulation
droid_0011,set_a,0.6197960083676136,0.0003360684588234408,29,4.226423263549805,0.06210688960834824,manipulation
droid_0012,set_a,0.16222367946723878,0.4004802597132715,29,4.263355255126953,0.035888597080162885,manipulation
droid_0013,set_a,0.538313127838437,0.0025922658347081367,29,6.8236002922058105,0.4291488355475253,manipulation
droid_0014,set_a,0.476032615687489,0.009046568342016106,29,6.629417896270752,0.19058872274412164,manipulation
droid_0015,set_a,0.5065536831331455,0.0050463841801721586,29,9.736008644104004,0.6872912954924435,manipulation
droid_0016,set_a,0.39583830126599073,0.0335381533829216,29,5.835339069366455,0.23710847324852286,manipulation
droid_0017,set_a,0.2185973889714921,0.25460029396321987,29,4.421117305755615,0.04066756011211667,manipulation
droid_0018,set_a,0.4258837899505151,0.021250903722051066,29,5.158472061157227,0.2946376548437723,manipulation
droid_0019,set_a,0.6528710817117039,0.0001235725385487116,29,5.322581768035889,0.05238141536969563,manipulation
droid_0020,set_a,0.21684122583330004,0.2585316215127114,29,4.593393325805664,0.118739388497739,manipulation
droid_0021,set_a,0.7424295969341194,4.00671236404954e-06,29,7.559178352355957,0.7370734896896214,manipulation
droid_0022,set_a,0.6473474215314866,0.0001472465325937533,29,7.975038051605225,1.0330974897690888,manipulation
droid_0023,set_a,0.5141715369123393,0.004325884554532399,29,7.9147419929504395,0.17134297504250345,manipulation
droid_0024,set_a,0.3451556966871164,0.06668703048240276,29,5.083502292633057,0.2255171301678337,manipulation
droid_0025,set_a,0.447853603012386,0.01483947694604757,29,6.548381805419922,0.30084012644686575,manipulation
droid_0026,set_a,0.47095953134568513,0.009919219962978232,29,6.081884860992432,0.43692126712793933,manipulation
droid_0027,set_a,0.6383850037840855,0.00019427726240027382,29,3.9217357635498047,0.014343539413450093,manipulation
droid_0028,set_a,0.5191746610860722,0.00390212576592713,29,5.803360462188721,0.30254334699490976,manipulation
droid_0029,set_a,0.22222393561958584,0.24660665508103924,29,4.24455451965332,0.13605462807905058,manipulation
2011_09_26_drive_0001,set_c,0.3704998693386802,0.04787336876646027,29,12.418111801147461,13.794706640572384,autonomous_driving
2011_09_26_drive_0002,set_c,-0.040920270540402696,0.8330766875130199,29,11.910524368286133,12.368779050892797,autonomous_driving
2011_09_26_drive_0009,set_c,0.8027036476742738,1.61747755716845e-07,29,23.006282806396484,61.41410084428458,autonomous_driving
2011_09_26_drive_0013,set_c,-0.18967046076908212,0.32439759257097645,29,18.54570960998535,23.512192232855433,autonomous_driving
2011_09_26_drive_0014,set_c,0.6144364087094695,0.0003911001008101562,29,23.960865020751953,69.65466690063477,autonomous_driving
2011_09_26_drive_0017,set_c,0.5220424127348358,0.0036756466311274813,29,4.137849807739258,1.094741162554971,autonomous_driving
2011_09_26_drive_0018,set_c,0.6268580972383337,0.00027402905108202686,29,6.674452781677246,3.688808533780534,autonomous_driving
2011_09_26_drive_0019,set_c,0.09986029136940577,0.6062730194571295,29,28.995969772338867,80.85736675920158,autonomous_driving
2011_09_26_drive_0027,set_c,0.6133654504424589,0.00040300101328518664,29,20.816377639770508,54.46313950111126,autonomous_driving
2011_09_26_drive_0028,set_c,0.0646708471995462,0.7389129924151936,29,21.991493225097656,79.37178526253535,autonomous_driving
2011_09_26_drive_0029,set_c,0.6519286995468553,0.00012735503188174616,29,18.323015213012695,41.85623162368248,autonomous_driving
